name,cat_loc,rating,review,description,price_range
옳음 OLH EUM,한식 • 청담,4.3,(617),시즌별 테마로 구성되는 서호영 셰프의 모던 한식 다이닝,점심 가격변동 · 저녁 가격변동
바로크,"칵테일,위스키 • 한남",4.9,(46),하나뿐인 나만의 칵테일을 맛볼 수 있는 스피키지바,점심 영업안함 · 저녁 가격변동
권숙수,한식 • 청담,4.7,(920),"직접 담근 장, 김치, 식초, 장아찌로 전국에 진귀한 식재료를 이용하여 이 시대에 맞는 한국요리를 선보이는 권우중 셰프의 파인 다이닝",점심 가격변동 · 저녁 가격변동
퀴진 라끌레,프랑스음식 • 서촌,4.7,(398),국내 최초 캐나다 퀘벡식 프렌치 레스토랑,점심 1 - 4만원 · 저녁 가격변동
이다 IDA,한식 • 종로,4.6,"(1,528)",한식 재료를 이용한 창의적인 요리를 선보이는 컨템포러리 레스토랑,점심 가격변동 · 저녁 가격변동
육다시구,와인 • 신사,4.7,(178),프라이빗 룸이 있는 신사역 분위기 좋은 와인바,점심 가격변동 · 저녁 가격변동
배수사,이자카야 • 익선,4.4,(141),앤틱한 분위기가 돋보이는 익선동 이자카야,점심 가격변동 · 저녁 가격변동
신라스테이 광화문 Cafe,뷔페 • 광화문,4.3,(183),합리적인 가격의 모던 & 캐주얼 뷔페 레스토랑,점심 2.9만원 · 저녁 가격변동
단정,다이닝바 • 마포,4.7,(225),다양한 와인과 아늑한 분위기의 와인바,점심 가격변동 · 저녁 가격변동
라케이브,와인 • 여의도,4.4,(115),"불어로 와인 저장고를 뜻하는 라케이브 와인 러버들의 아늑한 동굴입니다  미식 경험에 즐거움이 더해지는 장소 시간이 무르익고 대화가 피어나는 곳 입니다  편안한 공간, 맛있는 음식, 즐거운 대화 여러분의 행복을 라케이브에서 나눠보세요",점심 영업안함 · 저녁 가격변동
두쓰멍,와인 • 용산,4.6,(251),아늑한 분위기의 효창공원 프렌치 와인바,점심 영업안함 · 저녁 가격변동
양출서울,와인 • 논현,4.8,(160),"채소가 메인이 되는 곳, 맛있는 채소와 네츄럴 와인(비건X)",점심 영업안함 · 저녁 가격변동
레스토랑 우오보,파스타 • 도곡,4.6,"(1,256)","다양한 생면 파스타와 요리, 와인을 즐기실 수 있는 레스토랑입니다. 5인이상 예약은 매장으로 연락 부탁드립니다.",점심 가격변동 · 저녁 가격변동
비아톨레도 파스타바,파스타 • 용산,4.8,(450),나폴리를 담고 있는 파스타바,점심 영업안함 · 저녁 가격변동
와인소셜,와인 • 도산공원,4.7,(252),"""Feel The Wine""잔과 잔 사이에 오가는 대화의 즐거움으로 일상에 녹아드는 와인 복합 문화 공간",점심 영업안함 · 저녁 가격변동
명동숙희,다이닝바 • 명동,4.8,(298),"을지로 숙희의 2호점, 근정전 컨셉의 한국형 클래식바",점심 영업안함 · 저녁 가격변동
화이트와인개러지,와인 • 청담,4.7,(228),제철 식재료를 이용한 음식들이 매력적인 높은 층고의 청담동 와인바.예약이 마감 되었어도 당일 워크인방문은 매장으로 전화문의 가능합니다.,점심 영업안함 · 저녁 가격변동
리브나 RIVNA,코스요리 • 성수,4.9,(357),"'리브나는 이탈리아에서 요리하던 추억과정갈한 재료의 가치를 담아냅니다.'성수 만족도 1위 코스 다이닝, 생일 기념일 이벤트, 가족모임, 대관행사, 브라이덜사워",점심 영업안함 · 저녁 가격변동
시미베,일식 • 신당,4.8,(427),신당역 근처 이자카야,점심 영업안함 · 저녁 가격변동
앨리스 청담,"칵테일,위스키 • 청담",4.7,(57),"바텐더들의 성지, 압구정로데오 스피크이지바",점심 영업안함 · 저녁 가격변동
라움아트센터,이탈리아음식 • 선릉,NA,NA,유럽의 고성과 같은 이색적인 공간에서 즐기는 미식&공연,점심 가격변동 · 저녁 가격변동
사케츠바사,다이닝바 • 가로수길,4.8,(294),제철 안주와 다양한 사케 및 에비스생맥을 즐길 수 있는 신사동 가로수길 자그마한 사케바,점심 영업안함 · 저녁 가격변동
퍼밋 청담,다이닝바 • 청담,NA,NA,프라이빗한 공간에서 편하게 즐길 수 있는 몰트 바,점심 가격변동 · 저녁 가격변동
우노네,이탈리아음식 • 상암,4.7,(378),"클래식한 이탈리안요리를 추구하는 상암동 작은골목안에 숨어있는 모두를 위한, 이탈리안레스토랑",점심 가격변동 · 저녁 가격변동
하딩바,"칵테일,위스키 • 해방촌",5.0,(1),뉴욕타임즈에도 소개된 해방촌 숨겨진 위스키바,점심 영업안함 · 저녁 가격변동
바결,다이닝바 • 연남,5.0,(10),"위스키 칵테일 전통주 와인, 다양한 주류를 편안하게 즐기는 공간",점심 영업안함 · 저녁 가격변동
노퍼블릭 하우스,"칵테일,위스키 • 가로수길",4.9,(27),반복되는 일상 속 특별한 시간을 제공하는 NOPUBLIC,점심 영업안함 · 저녁 가격변동
한식술집 돌,전통주 • 성신여대,4.9,(219),다양한 전통주를 즐길 수 있는 캐주얼 한식 다이닝바* 단품요리만  가능합니다,점심 영업안함 · 저녁 가격변동
몬드리안 럼퍼스 룸(Mondrian Rumpus Room),다이닝바 • 이태원,4.3,(18),"엄선한 와인 리스트부터 독창적인 칵테일과 최고급 샴페인 라인업, 몬드리안 서울 이태원의 프리미엄 와인바",점심 영업안함 · 저녁 가격변동
더 플라자 세븐스퀘어,뷔페 • 시청,4.7,(249),다채로운 라이브 코너를 선보이는 올데이 뷔페 다이닝,점심 가격변동 · 저녁 가격변동
오블리비언 Oblivion,다이닝바 • 왕십리,5.0,(95),왕십리 어느 조용한 골목에 아늑한 공간,점심 가격변동 · 저녁 가격변동
용산피보,와인 • 삼각지,4.9,(116),"무신사에서도 촬영한 분위기 맛집. 2023트랜드 외식경영, GQ코리아, 무신사 등 다양한 매체에 소개된, 와인을 위한 와인바",점심 영업안함 · 저녁 가격변동
재료의 산책,코스요리 • 성신여대,4.9,(45),제철 채소 요리를 경험할 수 있는 공간,점심 가격변동 · 저녁 가격변동
스크립트,와인 • 연남,5.0,(3),나만 알고 싶은 연남동 와인바,점심 가격변동 · 저녁 가격변동
칠링 을지로,와인 • 을지로,4.9,(38),"먹고 싶은 음식을 가져와 후카/시샤와 와인,위스키 페어링을 즐기는 아지트",점심 영업안함 · 저녁 가격변동
무스타슈,코스요리 • 압구정,4.4,(15),프랑스 음식을 하는 작은 식당,점심 영업안함 · 저녁 가격변동
바 참 Bar Cham,"칵테일,위스키 • 서촌",4.9,(165),2023 Asia's 50 Best Bars 13th Bar Cham 2023 World's 50 Best Bars 75th Bar Cham  ※공간이 협소하여 팀당 최대 4인까지만 이용하실 수 있는 점 양해 부탁 드립니다.,점심 영업안함 · 저녁 가격변동
78도 광화문,"칵테일,위스키 • 광화문",4.8,(7),몰트 위스키바,점심 영업안함 · 저녁 가격변동
게리슨,"칵테일,위스키 • 압구정로데오",4.5,(4),"위스키,칵테일,와인,드래프트 비어를 즐길 수 있는 클래식바",점심 영업안함 · 저녁 가격변동
조선팰리스 강남 1914 라운지 & 바,다이닝바 • 역삼,4.5,(222),"시그니처 칵테일과 1914만의 에프터눈 티, 위스키, 샴페인을 탁트인 전망과 층고에서 라이브음악과 즐길 수 있는 우아한 공간",점심 5 - 10만원 · 저녁 가격변동
금탄3.0,다이닝바 • 삼성,4.8,(232),"독특한 조합으로 새로운 맛의 경험을 선사하는 우드파이어, 모던 홍콩 퀴진.유상수 쉐프가 이끄는 금탄3.0에서는 창의적인 요리를 통해 감칠맛 넘치는 순간들을 선사합니다.",점심 영업안함 · 저녁 가격변동
참제철,"칵테일,위스키 • 서촌",4.9,(98),Asia's Best Bars 50 13th Bar Cham 의 실험적인 시도가 담긴 비밀스러운 공간,점심 영업안함 · 저녁 가격변동
사바하,"칵테일,위스키 • 서촌",4.6,(7),그루브한 음악과 함께 흥겨움이 가득한 공간,점심 영업안함 · 저녁 가격변동
바420,와인 • 을지로,4.6,(107),포르투갈 전통음식과 와인을 즐길 수 있는 공간,점심 가격변동 · 저녁 가격변동
The203st,와인 • 강서,5.0,(77),캐쥬얼비스트로 & 와인내추럴 와인이 있는 아늑하고 프라이빗한 캐주얼 비스트로,점심 영업안함 · 저녁 가격변동
와인클럽하우스,와인 • 압구정로데오,5.0,(29),와인과 와인 문화를 합리적으로 소비하는 캐주얼 문화 공간,점심 가격변동 · 저녁 가격변동
페어드,"칵테일,위스키 • 압구정로데오",5.0,(6),압구정로데오 메인거리에 위치한 프라이빗한 감성의 컨템포러리 BAR,점심 가격변동 · 저녁 가격변동
드렁크몽크,"칵테일,위스키 • 연희",4.9,(5),"400여종의 위스키, 럼, 브랜디와 다양한 칵테일이 갖춰진 연희동의 숨겨진 공간",점심 영업안함 · 저녁 가격변동
매치메이드맨션(MMM),와인 • 문정,NA,NA,샵에서 판매하는 와인과 키트를 간단히 즐길 수 있는 심플 라운지,점심 가격변동 · 저녁 가격변동
NOCT M,다이닝바 • 반포,4.7,(261),한강에서 특별한 밤을 연주하는 live music bar  (임시휴무),점심 영업안함 · 저녁 가격변동
홍대 딤,"칵테일,위스키 • 홍대",5.0,(2),클래식한 분위기에 전직 5성급 헤드바텐더가 제공하는 프리미엄 칵테일과 위스키,점심 영업안함 · 저녁 가격변동
동빙고워크룸,다이닝바 • 용산,5.0,(3),쿠촐로 그룹의 원테이블 레스토랑,점심 영업안함 · 저녁 가격변동
78도 덕수궁,"칵테일,위스키 • 시청",NA,NA,분위기 좋은 몰트 위스키바,점심 영업안함 · 저녁 가격변동
