Name,Category_Location,Rating,Review,Description,Price_Range
카페 레이어드 연남점,케이크 • 연남,4.9,(58),"유럽의 한 가정집의 따스함, 찰나의 스치는 런던과 파리의 빈티지한 무드를 담은 카페",픽업가 5 - 8만원
카페 페퍼,케이크 • 송파,4.4,(116),송리단길 글루텐프리 디저트 카페,픽업가 4 - 7만원
진저베어 압구정 현대백화점,"카페,디저트 • 압구정",4.7,(41),"잠실의 파이 전문 베이커리 카페 진저베어의 2호점 다양한 미트파이와, 스윗파이, 크로와상 메뉴를 맛보실 수 있어요:)",픽업가 1 - 3만원
카페 레이어드 더현대서울점,케이크 • 여의도,5.0,(41),"유럽의 한 가정집의 따스함, 찰나의 스치는 런던과 파리의 빈티지한 무드를 담은 카페",픽업가 6 - 9만원
멜로드도산 롯데백화점 잠실점,케이크 • 잠실,4.7,(43),건강하고 좋은재료를 사용하여 건강하고 맛있고 아름다운 케이크를 만듭니다.,픽업가 5 - 6만원
카페 레이어드 안국점,케이크 • 안국,4.5,(11),"유럽의 한 가정집의 따스함, 찰나의 스치는 런던과 파리의 빈티지한 무드를 담은 카페",픽업가 5 - 8만원
멜로드도산 현대백화점 압구정본점,케이크 • 압구정,4.7,(72),건강하고 좋은재료를 사용하여 건강하고 맛있고 아름다운 케이크를 만듭니다,픽업가 5 - 6만원
진저베어,"카페,디저트 • 송파",4.3,(436),"스윗파이와 키쉬, 갈래트, 미트파이를 판매하는 베이커리 카페",픽업가 1 - 3만원
멜로드도산 현대백화점 무역센터점,케이크 • 삼성,4.8,(106),건강하고 좋은재료를 사용하여 건강하고 맛있고 아름다운 케이크를 만듭니다,픽업가 5 - 6만원
카페 하이웨스트 익선점,케이크 • 익선,4.9,"(1,088)",따스한 햇살과 함께 빈티지한 소품들이 공간 전체와 어우러진 영화 속에 들어온 듯한 공간의 카페,픽업가 5-6 만원
카페시나몬,"카페,디저트 • 잠실",4.5,(2),촉촉하고 보드라운 다양한 맛의 시나몬롤과 케이크로 행복감을 전해드립니다.,픽업가 1- 8만원
우나하우스 현대백화점 압구정본점,케이크 • 압구정,4.8,(6),"생크림케이크가 달항아리가 되고, 수플레가 구름이 되는 셰프의 상상이 맛있게 담겨진 우나하우스",픽업가 3.9 - 6.2만
