review_seq,total_score,review_content,reg_date,images,writer_display_name
7858,4.0,"[Family Lunch Time: Through Cheongdam] 
Lunch with my mom and dad for the first time in a while with the dry aging steak course 💫 

I could eat quietly in a quiet room with the artist's wonderful painting in the background. Each part of the rib eye and shrimp had its own charm, and a foam soup made of pork potatoes that was a new experience!",2020-06-23 15:13:03,"https://image.toast.com/aaaaaqx/rv/s2067/_2062315131982067.jpg, https://image.toast.com/aaaaaqx/rv/s2067/_2062315131984189.jpg, https://image.toast.com/aaaaaqx/rv/s2067/_2062315131984179.jpg, https://image.toast.com/aaaaaqx/rv/s2067/_2062315131984179(1).jpg, https://image.toast.com/aaaaaqx/rv/s2067/_2062315131984240.jpg, https://image.toast.com/aaaaaqx/rv/s2067/_2062315131984282.jpg, https://image.toast.com/aaaaaqx/rv/s2067/_2062315131984269.jpg, https://image.toast.com/aaaaaqx/rv/s2067/_2062315131984234.jpg",hazelee__
716153,5.0,"The appetizer dessert meal was all good, but the main dish was Korean beef…..
It's crazy. You can't curse. I'm sorry, but we're nodding the whole time we're eating… Me-Teng... I've only repeatedly I'm not good at expressing it. Sorry It's frustrating to eat 150,000 won worth of food and become a Kaonashi because I can't express it when I open my mouth He explained everything in detail. I was going to eat dessert and go home after eating meat, but he prepared a meal for me, so I thought I came to the food hell. (If there was a hell like this, please invite me again.) It was so touching and it was a meal that didn't waste any money I'll go eat again next time Boss, fighting",2022-08-15 19:45:58,"https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220815194031897(0).jpeg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220815194031899(1).jpeg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220815194031899(2).jpeg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220815194031899(3).jpeg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220815194031899(4).jpeg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220815194031899(5).jpeg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220815194031899(6).jpeg",최고의 식도락가_12374
725777,5.0,"The service is the best, but it's really delicious. I'll visit again soon",2022-08-18 20:05:32,https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220818200504256(0).jpeg,mimisdsiwnf
728648,5.0,It's good,2022-08-19 14:48:25,,편식심한사람
739613,2.7,I'm sad that the course and plating have gotten weaker than before,2022-08-21 22:01:42,https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220821220111540(0).jpeg,가로수장인
745172,5.0,"The servers were kind and the quality of the meat was good
I'm planning to revisit it^^",2022-08-23 19:34:32,"https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22823193349062_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22823193349263_rv.jpg",이서안
755630,4.0,"a small group
It's a great family gathering
Meat is
It's worse than you think",2022-08-26 20:44:22,,꿈꾸는 개척가_61527
762152,4.7,"It was good, but..The course is too small to call it hanwoo omakase^^",2022-08-28 08:11:33,"https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081029348_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081029634_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081030361_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081031107_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081031884_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081035247_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081033036_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081034527_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081033797_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081035631_rv.jpg, https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/22828081032297_rv.jpg",MICROFIL
776507,4.7,"Of course, it's an expensive high-end store, but I like meat omakase or Korean fusion food where I want to go on a special day",2022-09-01 01:32:58,,타이지
800825,5.0,"Good. I think it's the best beef thin lunch you can eat at this price
Personally, the atmosphere and taste were better than the corner
Even though I changed my reservation frequently due to typhoons and personal schedules, they responded so kindly I'm 100% willing to revisit Complete recommendation",2022-09-07 15:19:25,https://image.toast.com/aaaaaqx/rv/sfoLnGQSkTzi3M9yGKkuVeA/220907151609640(0).jpeg,신나는 맛사냥꾼_65125
