Name,Rating,Review,Description,Price_Range,Label,Category,Location
런던 베이글 뮤지엄 도산,4.4,3419,"방금 나온 베이글, 따뜻한 수프가 기다리는 가장 가까운 런던 속 베이글 뮤지엄",점심 저녁 동일가 1 - 2만원,2,"카페,디저트",도산공원
산청숯불가든 마곡,4.6,583,"산청흑돼지, 전통 숯가마, 산지 식재료로 우리만의 맛을 담은 고깃집* 원격 웨이팅이 많은 관계로 저녁 9시 50분까지 연락을 못받으실 경우, 영업시간 내 입장이 부득이하게 어려울 수 있습니다.* 당일 예약 불가/평일 오후 5시까지만 예약 가능합니다.",점심 저녁 동일가 2 - 6만원,2,돼지고기구이,마곡
라프레플루트,4.3,278,다양한 과일을 쉽고 간편하게 접할 수 있는 프리미엄 과일가게,점심 저녁 동일가 1 - 3만원,2,"카페,디저트",서울숲
한소반 청계산점,4.3,197,보쌈으로 유명한 청계산 맛집,점심 저녁 동일가 1 - 2만원,2,"육류,고기요리",청계산
크레이지카츠,4.7,562,육즙이 살아있는 두툼한 일식 돈카츠,점심 저녁 동일가 1 - 2만원,2,돈가스,합정
런던 베이글 뮤지엄 잠실,4.3,5336,"방금 나온 베이글, 따뜻한 수프가 기다리는 가장 가까운 런던 속 베이글 뮤지엄",점심 저녁 동일가 1 - 2만원,2,"카페,디저트",잠실
아티스트 베이커리,4.4,1177,방금 나온 소금빵과 바게트 그리고 따뜻한 수프가 기다리는 아티스트 베이커리,점심 저녁 동일가 1만원 미만,2,"카페,디저트",안국
산청숯불가든 을지로,4.6,1122,"산청흑돼지, 전통 숯가마, 산지 식재료로 우리만의 맛을 담은 고깃집* 원격 웨이팅이 많은 관계로 저녁 9시 50분까지 연락을 못받으실 경우, 영업시간 내 입장이 부득이하게 어려울 수 있습니다.* 당일 예약 불가/평일 오후 5시까지만 예약 가능합니다. (주말 불가)",점심 저녁 동일가 1 - 4만원,2,돼지고기구이,을지로
도트블랭킷 안국점,4.5,193,"웨이팅은 기본, 건강한 맛의 감성 브런치 카페",점심 저녁 동일가 1 - 2만원,2,브런치,안국
난포,4.3,950,오픈런해서 먹는 정갈한 퓨전한식 다이닝,점심 저녁 동일가 1 - 5만원,2,한식,서울숲
미뉴트빠삐용,4.0,720,스페인 정통 츄러스 전문점잠시만 기다려주세요.,점심 저녁 동일가 1만원 미만,2,"카페,디저트",압구정로데오
하이디라오 영등포점,4.7,952,"중국 본토의 맛 그대로, 차원이 다른 No.1 훠궈",점심 저녁 동일가 3 - 5만원,2,중식,영등포
몽탄,4.3,524,우대갈비와 짚불삼겹살 맛이 일품인 곳,점심 저녁 동일가 1 - 4만원,2,"육류,고기요리",삼각지
