,Unnamed: 0,Name,Keywords (10),Top Keywords List,Top Keywords,region,Price_range,lun_di,save,Category,Category_1,Location_y,Location_1,Label,Rating,Review,avg_lunch,avg_dinner,min_lunch,max_lunch,min_dinner,max_dinner,region_1
0,0,207다이닝,"파스타, 음식, 아이스크림, 스테이크, 메뉴, 생일, 분위기, 요리, 좋은, 트러플","['특별한 날', '분위기 좋은']","특별한 날, 분위기 좋은",서울특별시 성동구 성수일로1길,점심 1 - 3만원 · 저녁 2 - 4만원,저녁,"2,839",양식,양식,서울숲,성동구,예약,4.9,277,20000.0,30000.0,10000.0,30000.0,20000.0,40000.0,서울특별시 성동구 성수일로1길
1,1,37.5 시그니처 성수점,"분위기, 브런치, 음식, 직원, 맛집, 성수, 좋았어요, 파스타, 좋고, 좋아요","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 연무장길,점심 저녁 동일가 2 - 4만원,점심,671,브런치,양식,성수,성동구,웨이팅,4.7,72,30000.0,30000.0,20000.0,40000.0,20000.0,40000.0,서울특별시 성동구 연무장길
2,2,Bar Postscript 바피에스,"와인, 분위기, 음식, 코스, 생일, 서비스, 메뉴, 요리, 가격, 맛있고","['서비스 좋은', '특별한 날', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 특별한 날, 분위기 좋은, 주류, 음식이 맛있는",서울특별시 성동구 연무장17길,점심 영업안함 · 저녁 1 - 3만원,저녁,"4,222",양식,양식,성수,성동구,예약,4.7,271,영업안함,20000.0,,,10000.0,30000.0,서울특별시 성동구 연무장17길
3,3,ERN 이알앤,"파스타, 메뉴, 음식, 분위기, 소스, 뇨끼, 라자냐, 맛있고, 좋고, 맛있어서","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 서울숲2길,점심 저녁 동일가 1 - 4만원,점심,"4,645",파스타,양식,서울숲,성동구,예약,4.8,334,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 서울숲2길
4,4,TOOG 투그,"음식, 메뉴, 핫도그, 와인, 주문, 파스타, 맛있었어요, 소스, 로우, 분위기","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 성수이로14길,점심 저녁 동일가 1 - 4만원,저녁,"4,725",양식,양식,성수,성동구,예약,4.7,598,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 성수이로14길
5,5,TWG Tea 성수낙낙점,"분위기, 좋고, 기분, 시간, 디저트, 예약, 음식, 좋은, 맛있어요, 좋아요","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 아차산로17길,점심 저녁 동일가 1 - 4만원,저녁,"1,104","카페,디저트",카페,성수,성동구,예약,4.7,78,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 아차산로17길
6,6,Wip seongsu (윕 성수),"분위기, 메뉴, 와인, 음식, 좋았어요, 스테이크, 파스타, 뇨끼, 연말, 맛있고","['주류', '음식이 맛있는', '분위기 좋은', '특별한 날']","주류, 음식이 맛있는, 분위기 좋은, 특별한 날",서울특별시 성동구 광나루로4가길,점심 저녁 동일가 1 - 4만원,저녁,"9,999+",양식,양식,성수,성동구,예약,4.5,921,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 광나루로4가길
7,7,dooop,"분위기, 음식, 와인, 좋은, 기분, 좋았어요, 맛있었어요, 메뉴, 서비스, 좋고","['서비스 좋은', '주류', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 주류, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 서울숲2길,점심 저녁 동일가 1 - 3만원,점심,"9,999+",양식,양식,서울숲,성동구,예약,4.7,579,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 서울숲2길
8,8,oiljang,"와인, 음식, 메뉴, 추천, 리스트, 맛있게, 맛집, 소스, 오일장, 주문","['주류', '음식이 맛있는', '추천하는']","주류, 음식이 맛있는, 추천하는",서울특별시 성동구 서울숲2길,점심 영업안함 · 저녁 1 - 3만원,저녁,"5,560",양식,양식,서울숲,성동구,예약,4.8,252,영업안함,20000.0,,,10000.0,30000.0,서울특별시 성동구 서울숲2길
9,9,감도 성수점,"아이스크림, 디저트, 예약, 가격, 레터, 맛있어요, 바질, 분위기, 서비스, 조약돌","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 왕십리로,점심 저녁 동일가 1 - 2만원,저녁,"3,181","카페,디저트",카페,서울숲,성동구,예약,4.3,67,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울특별시 성동구 왕십리로
10,10,경주이씨,"메뉴, 음식, 안주, 가격, 분위기, 맛있고, 최고, 좋은, 주문, 맛집","['음식이 맛있는', '분위기 좋은', '추천하는']","음식이 맛있는, 분위기 좋은, 추천하는",서울특별시 성동구 왕십리로8길,점심 영업안함 · 저녁 1 - 2만원,저녁,779,전통주,주류,성수,성동구,예약,4.5,79,영업안함,15000.0,,,10000.0,20000.0,서울특별시 성동구 왕십리로8길
11,11,고로고로 성수,"오차즈케, 음식, 장어, 로고, 맛있었어요, 요청, 테이블, 해산물, 도미, 분위기","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 아차산로13길,점심 저녁 동일가 1 - 3만원,저녁,"4,325",일식,일식,성수,성동구,예약,4.6,230,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 아차산로13길
12,12,곤스 gon`s,"분위기, 하이, 음식, 맛집, 안주, 좋아요, 곤스, 구이, 데이트, 미소","['음식이 맛있는', '분위기 좋은', '데이트/연인과 함께']","음식이 맛있는, 분위기 좋은, 데이트/연인과 함께",서울특별시 성동구 고산자로14길,점심 영업안함 · 저녁 1 - 3만원,저녁,501,한식,한식,왕십리,성동구,예약,4.6,101,영업안함,20000.0,,,10000.0,30000.0,서울특별시 성동구 고산자로14길
13,13,골든센트리,"음식, 분위기, 메뉴, 좋은, 요리, 중식, 코스, 어향가, 소스, 좋고",['분위기 좋은'],분위기 좋은,서울특별시 성동구 연무장9길,점심 저녁 동일가 5 - 10만원,점심,"2,154",중식,중식,성수,성동구,예약,4.8,219,50000.0,50000.0,20000.0,80000.0,20000.0,80000.0,서울특별시 성동구 연무장9길
14,14,금남방,"와인, 음식, 분위기, 최고, 추천, 한식, 금호동, 고추, 맛있고, 음악","['주류', '음식이 맛있는', '분위기 좋은', '추천하는']","주류, 음식이 맛있는, 분위기 좋은, 추천하는",서울특별시 성동구 독서당로,점심 영업안함 · 저녁 1 - 4만원,저녁,"1,125",양식,양식,금호,성동구,예약,4.8,55,영업안함,25000.0,,,10000.0,40000.0,서울특별시 성동구 독서당로
15,15,금남정,"음식, 분위기, 좋아요, 갈치, 전통주, 추천, 파스타, 다양한, 맛있어요, 안주","['주류', '음식이 맛있는', '분위기 좋은', '추천하는']","주류, 음식이 맛있는, 분위기 좋은, 추천하는",서울특별시 성동구 금호산2길,점심 영업안함 · 저녁 1 - 3만원,저녁,"1,273",전통주,주류,금호,성동구,예약,4.8,173,영업안함,20000.0,,,10000.0,30000.0,서울특별시 성동구 금호산2길
16,16,금호 온,"파스타, 분위기, 음식, 좋은, 메뉴, 금호동, 와인, 좋고, 데이트, 디저트","['주류', '분위기 좋은', '데이트/연인과 함께']","주류, 분위기 좋은, 데이트/연인과 함께",서울특별시 성동구 무수막길,점심 저녁 동일가 1 - 3만원,점심,723,이탈리아음식,양식,금호,성동구,예약,4.7,110,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 무수막길
17,17,기후,"음식, 분위기, 마카, 식사, 메뉴, 서비스, 구성, 데이트, 기분, 좋았어요","['서비스 좋은', '분위기 좋은', '데이트/연인과 함께']","서비스 좋은, 분위기 좋은, 데이트/연인과 함께",서울특별시 성동구 성수이로,점심 저녁 동일가 8.8만원,저녁,"8,226",스시오마카세,일식,성수,성동구,예약,4.6,397,88000.0,88000.0,88000.0,88000.0,88000.0,88000.0,서울특별시 성동구 성수이로
18,18,까까를로,"뇨끼, 메뉴, 분위기, 음식, 파스타, 맛있게, 예약, 맛있어서, 맛있었어요, 맛집","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 왕십리로8길,점심 저녁 동일가 1 - 4만원,저녁,"3,350",이탈리아음식,양식,성수,성동구,예약,4.8,351,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 왕십리로8길
